,id,food_id,nutrient_id,amount,min,max,median
235,2219966,321359,1195,1.1,0.9,1.2,1.1
236,2219900,321359,1131,0.0,0.0,0.0,0.0
237,2219893,321359,1109,0.03,0.02,0.03,0.03
238,2219851,321359,1110,45.0,,,
239,2219890,321359,1010,0.0,0.0,0.0,0.0
240,2219902,321359,1165,0.059,0.053,0.065,0.06
241,2219907,321359,1180,18.2,17.4,19.6,18.0
242,2219926,321359,1335,0.0,0.0,0.0,0.0
243,2219865,321359,1225,0.068,0.06,0.08,0.07
244,2219899,321359,1130,0.0,0.0,0.0,0.0
245,2219915,321359,1107,3.0,2.0,3.0,3.0
246,2219833,321359,1304,0.052,0.04,0.066,0.054
247,2219928,321359,2009,0.014,0.011,0.017,0.015
248,2219938,321359,1405,0.0,0.0,0.0,0.0
249,2219884,321359,1293,0.058,0.01,0.08,0.06
250,2219857,321359,1112,1.1,0.8,1.6,1.1
251,2219925,321359,1111,0.0,0.0,0.0,0.0
252,2219919,321359,1093,39.0,36.0,46.0,38.0
253,2219894,321359,1253,8.0,7.0,8.0,8.0
254,2219945,321359,1334,0.0,0.0,0.0,0.0
255,2219965,321359,1196,1.9,1.5,2.3,2.0
256,2219849,321359,1259,0.041,0.033,0.044,0.042
257,2219936,321359,2013,0.0,0.0,0.0,0.0
258,2219834,321359,1314,0.024,0.012,0.03,0.025
259,2219874,321359,1062,209.0,,,
260,2219911,321359,1092,159.0,149.0,178.0,156.0
261,2219856,321359,1272,0.0,0.0,0.0,0.0
262,2219948,321359,2007,0.0,0.0,0.0,0.0
263,2219848,321359,1266,0.184,0.168,0.217,0.182
264,2219940,321359,1406,0.002,0.001,0.003,0.002
265,2219913,321359,1051,89.1,88.0,90.7,89.1
266,2219935,321359,2012,0.002,0.001,0.003,0.002
267,2219909,321359,1198,0.7,0.5,0.9,0.8
268,2219889,321359,1170,0.39,0.314,0.433,0.392
269,2219831,321359,1166,0.137,0.125,0.172,0.132
270,2219870,321359,1219,0.213,0.19,0.24,0.215
271,2219854,321359,1315,0.358,0.325,0.385,0.356
272,2219961,321359,2029,0.0,0.0,0.0,0.0
273,2219858,321359,1210,0.042,0.04,0.05,0.04
274,2219954,321359,1232,0.035,0.03,0.04,0.035
275,2219970,321359,1317,0.0,,,
276,2220014,321360,1119,9.0,8.0,11.0,9.0
277,2220017,321360,1125,0.02,0.0,0.04,0.02
278,2220012,321360,1121,95.0,68.0,131.0,84.0
279,2220020,321360,1131,0.0,0.0,0.0,0.0
280,2220015,321360,1109,0.98,0.85,1.12,0.98
281,2219988,321360,1198,0.0,,,0.0
282,2220007,321360,2028,393.0,286.0,493.0,399.0
283,2220011,321360,1160,554.0,524.0,594.0,542.0
284,2220008,321360,1120,0.0,0.0,0.0,0.0
285,2220030,321360,1167,0.805,0.8,0.81,0.805
286,2219984,321360,1162,27.2,22.4,32.4,26.3
287,2220016,321360,1128,0.0,0.0,0.0,0.0
288,2219998,321360,1090,11.9,10.7,13.1,11.8
289,2220035,321360,1062,113.0,,,
290,2219983,321360,1051,92.5,90.9,93.6,92.7
291,2220006,321360,2032,0.0,0.0,0.0,0.0
292,2219992,321360,1195,0.6,,,0.6
293,2219997,321360,1089,0.33,0.28,0.44,0.31
294,2219999,321360,1101,0.121,0.076,0.219,0.098
295,2220001,321360,1092,260.0,239.0,285.0,257.0
296,2220003,321360,1095,0.2,0.18,0.25,0.19
297,2220018,321360,1129,0.0,0.0,0.0,0.0
298,2220013,321360,1122,4100.0,3860.0,4240.0,4210.0
299,2220024,321360,1183,0.0,0.0,0.0,0.0
300,2219989,321360,1194,8.0,,,8.0
301,2219994,321360,1180,9.8,,,9.8
302,2220032,321360,1005,5.51,,,
303,2219993,321360,1199,0.0,,,0.0
304,2220009,321360,1159,49.0,36.0,67.0,46.0
305,2219995,321360,1087,11.0,9.0,15.0,10.0
306,2220029,321360,1177,10.0,9.0,10.0,10.0
307,2219996,321360,1098,0.058,0.042,0.085,0.056
308,2220021,321360,1126,0.7,0.61,0.8,0.7
309,2220004,321360,1079,2.1,1.9,2.2,2.2
310,2220025,321360,1185,4.2,3.3,5.2,4.2
311,2220031,321360,1003,0.83,0.75,0.94,0.81
312,2219991,321360,1196,1.2,,,1.2
313,2220002,321360,1093,6.0,3.0,10.0,5.0
314,2219985,321360,1007,0.56,0.51,0.64,0.55
315,2219987,321360,1002,0.13,0.12,0.15,0.13
316,2220010,321360,1161,12.0,9.0,14.0,12.0
317,2220005,321360,1108,0.0,0.0,0.0,0.0
318,2219986,321360,1004,0.63,0.46,0.82,0.64
319,2220022,321360,1130,0.0,0.0,0.0,0.0
320,2220023,321360,1184,0.0,0.0,0.0,0.0
321,2220019,321360,1127,0.12,0.08,0.15,0.12
322,2219990,321360,1197,0.0,,,0.0
323,2220027,321360,1165,0.075,0.07,0.08,0.075
324,2220028,321360,1175,0.06,0.05,0.07,0.06
325,2220026,321360,1166,0.065,0.06,0.07,0.065
326,2220000,321360,1091,28.0,23.0,33.0,27.0
327,13338494,321360,2047,31.0,,,
328,13338396,321360,2048,27.0,,,
329,2220546,321611,1014,0.0,0.0,0.0,0.0
330,2220528,321611,1051,93.6,93.0,94.2,93.5
331,2220548,321611,1002,0.17,0.13,0.2,0.17
332,2220529,321611,1095,0.19,0.14,0.27,0.19
333,2220535,321611,1011,0.65,0.5,0.72,0.67
334,2220526,321611,1075,0.0,0.0,0.0,0.0
335,2220547,321611,1092,97.0,76.0,114.0,96.0
336,2220549,321611,1063,1.29,,,
337,2220536,321611,1062,86.0,,,
338,2220530,321611,1087,36.0,26.0,42.0,36.0
339,2220540,321611,1101,0.176,0.137,0.223,0.18
340,2220532,321611,1005,4.11,,,
341,2220531,321611,1004,0.39,0.3,0.47,0.38
342,2220543,321611,1003,1.04,0.81,1.25,1.06
343,2220537,321611,1091,23.0,18.0,27.0,23.0
344,2220539,321611,1098,0.041,0.027,0.058,0.041
345,2220541,321611,1089,0.78,0.35,1.5,0.61
346,2220542,321611,1012,0.64,0.48,0.72,0.67
347,2220544,321611,1007,0.89,0.71,1.05,0.92
348,2220534,321611,1010,0.0,0.0,0.0,0.0
349,2220527,321611,1013,0.0,0.0,0.0,0.0
350,2220545,321611,1090,12.7,10.7,14.3,12.5
351,2220538,321611,1093,282.0,183.0,328.0,305.0
352,13338489,321611,2047,24.0,,,
353,13338391,321611,2048,20.0,,,
354,2221308,321900,1128,0.01,0.0,0.03,0.0
355,2221348,321900,1106,8.0,,,
356,2221360,321900,1314,0.0,,,
357,2221297,321900,1010,0.01,0.0,0.02,0.01
358,2221342,321900,1225,0.089,0.078,0.1,0.088
359,2221368,321900,2022,0.0,,,
360,2221333,321900,1333,0.0,0.0,0.0,0.0
361,2221269,321900,1268,0.01,0.008,0.012,0.01
362,2221285,321900,1212,0.079,0.075,0.082,0.08
363,2221355,321900,1116,0.0,0.0,0.0,0.0
364,2221300,321900,1051,90.0,87.3,91.9,90.3
365,2221299,321900,1014,0.0,0.0,0.0,0.0
366,2221319,321900,1075,0.0,0.0,0.0,0.0
